HEADER_TIME_STAMP,MAGNITUDE,SAMPLE_COUNTS
2015-11-19 17:19:38.141,2267,38
2015-11-19 17:19:39.131,2549,40
2015-11-19 17:19:40.145,2575,40
2015-11-19 17:19:41.142,2315,38
2015-11-19 17:19:42.139,2424,37
2015-11-19 17:21:18.526,3565,39
2015-11-19 17:21:19.520,4129,41
2015-11-19 17:21:20.516,3300,40
2015-11-19 17:21:21.512,3152,39
2015-11-19 17:21:22.530,3192,39
2015-11-19 17:21:23.525,2939,39
2015-11-19 17:21:24.535,2882,41
2015-11-19 17:21:25.527,3908,39
2015-11-19 17:21:26.528,3242,40
2015-11-19 17:21:27.521,2716,40
2015-11-19 17:21:28.526,3426,37
2015-11-19 17:21:29.511,3076,40
2015-11-19 17:21:30.642,2970,39
2015-11-19 17:21:31.547,3275,40
2015-11-19 17:21:32.534,2972,40
2015-11-19 17:21:33.539,3052,39
2015-11-19 17:21:34.530,3062,40
2015-11-19 17:21:35.525,2857,39
2015-11-19 17:21:36.520,2411,39
2015-11-19 17:21:37.557,2533,40
2015-11-19 17:21:44.841,1642,41
2015-11-19 17:21:45.832,967,38
2015-11-19 17:21:46.826,961,39
2015-11-19 17:21:47.857,1163,44
2015-11-19 17:21:48.925,319,40
2015-11-19 17:21:49.844,224,39
2015-11-19 17:21:50.837,598,38
2015-11-19 17:21:51.848,1035,39
2015-11-19 17:21:52.836,1913,39
2015-11-19 17:21:53.846,606,42
2015-11-19 17:21:54.858,627,42
2015-11-19 17:21:55.935,1757,39
2015-11-19 17:21:56.946,2022,38
2015-11-19 17:21:57.845,2333,40
2015-11-19 17:21:58.872,2662,37
2015-11-19 17:21:59.841,1999,37
2015-11-19 17:22:00.837,1889,40
2015-11-19 17:22:01.851,1390,39
2015-11-19 17:22:02.825,1492,41
2015-11-19 17:22:03.842,1726,41
2015-11-19 17:22:45.208,245,40
2015-11-19 17:22:46.201,199,39
2015-11-19 17:22:47.197,190,42
2015-11-19 17:22:48.220,190,40
2015-11-19 17:22:49.206,350,38
2015-11-19 17:22:50.209,227,39
2015-11-19 17:22:51.208,76,39
2015-11-19 17:22:52.244,63,42
2015-11-19 17:22:53.224,39,40
2015-11-19 17:22:54.202,35,41
2015-11-19 17:22:55.200,38,39
2015-11-19 17:22:56.225,31,41
2015-11-19 17:22:57.207,29,41
2015-11-19 17:22:58.227,42,41
2015-11-19 17:22:59.193,42,39
2015-11-19 17:23:00.222,29,40
2015-11-19 17:23:01.205,26,39
2015-11-19 17:23:02.236,30,41
2015-11-19 17:23:03.207,20,39
2015-11-19 17:23:04.203,32,39
2015-11-19 17:24:26.182,779,41
2015-11-19 17:24:27.171,1767,39
2015-11-19 17:24:28.176,1780,42
2015-11-19 17:24:29.200,2157,41
2015-11-19 17:24:30.199,2159,39
2015-11-19 17:24:31.207,2267,40
2015-11-19 17:24:32.179,1434,38
2015-11-19 17:24:33.167,1418,41
2015-11-19 17:24:34.169,1329,39
2015-11-19 17:24:35.207,1581,39
2015-11-19 17:24:36.184,1466,40
2015-11-19 17:24:37.186,561,41
2015-11-19 17:24:38.183,136,37
2015-11-19 17:24:39.185,33,42
2015-11-19 17:24:40.217,60,38
2015-11-19 17:24:41.169,349,40
2015-11-19 17:24:42.171,162,40
2015-11-19 17:24:43.185,429,42
2015-11-19 17:24:44.182,986,40
2015-11-19 17:24:45.182,1490,38
2015-11-19 17:25:30.199,455,42
2015-11-19 17:25:31.199,577,42
2015-11-19 17:25:32.210,511,39
2015-11-19 17:25:33.199,478,39
2015-11-19 17:25:34.256,465,44
2015-11-19 17:25:35.221,649,43
2015-11-19 17:25:36.196,1353,39
2015-11-19 17:25:37.203,320,40
2015-11-19 17:25:38.212,116,42
2015-11-19 17:25:39.213,102,39
2015-11-19 17:25:40.210,126,37
2015-11-19 17:25:41.199,69,38
2015-11-19 17:25:42.212,30,39
2015-11-19 17:25:43.199,25,38
2015-11-19 17:25:44.203,24,40
2015-11-19 17:25:45.195,33,41
2015-11-19 17:25:46.202,21,38
2015-11-19 17:25:47.185,26,37
2015-11-19 17:25:48.197,24,40
2015-11-19 17:25:49.189,30,39
2015-11-19 17:25:53.379,65,42
2015-11-19 17:25:54.344,233,41
2015-11-19 17:25:55.345,394,41
2015-11-19 17:25:56.344,239,40
2015-11-19 17:25:57.335,328,38
2015-11-19 17:25:58.386,339,39
2015-11-19 17:25:59.340,608,40
2015-11-19 17:26:00.342,499,39
2015-11-19 17:26:01.343,1244,41
2015-11-19 17:26:02.330,1333,39
2015-11-19 17:26:03.328,1898,39
2015-11-19 17:26:04.332,1839,39
2015-11-19 17:26:05.335,1634,40
2015-11-19 17:26:06.336,1818,43
2015-11-19 17:26:07.337,2252,40
2015-11-19 17:26:08.340,1669,40
2015-11-19 17:26:09.364,1906,40
2015-11-19 17:26:10.341,1597,40
2015-11-19 17:26:11.360,1518,42
2015-11-19 17:26:12.354,1316,37
2015-11-19 17:26:48.189,29,39
2015-11-19 17:26:49.203,31,40
2015-11-19 17:26:50.211,21,38
2015-11-19 17:26:51.207,20,40
2015-11-19 17:26:52.218,26,38
2015-11-19 17:26:53.217,32,42
2015-11-19 17:26:54.208,37,39
2015-11-19 17:26:55.210,18,37
2015-11-19 17:26:56.218,16,39
2015-11-19 17:26:57.343,19,40
2015-11-19 17:26:58.278,30,39
2015-11-19 17:26:59.201,26,38
2015-11-19 17:27:00.211,20,39
2015-11-19 17:27:01.197,19,39
2015-11-19 17:27:02.202,38,41
2015-11-19 17:27:03.203,22,38
2015-11-19 17:27:04.200,31,37
2015-11-19 17:27:05.202,24,37
2015-11-19 17:27:06.215,23,44
2015-11-19 17:27:07.215,30,40
2015-11-19 17:28:28.497,126,39
2015-11-19 17:28:29.491,353,40
2015-11-19 17:28:30.482,155,38
2015-11-19 17:28:31.497,136,39
2015-11-19 17:28:32.501,175,41
2015-11-19 17:28:33.490,136,38
2015-11-19 17:28:34.486,87,39
2015-11-19 17:28:35.486,110,38
2015-11-19 17:28:36.500,133,39
2015-11-19 17:28:37.495,196,40
2015-11-19 17:28:38.491,93,38
2015-11-19 17:28:39.481,197,38
2015-11-19 17:28:40.484,258,39
2015-11-19 17:28:41.492,230,38
2015-11-19 17:28:42.493,286,39
2015-11-19 17:28:43.499,404,38
2015-11-19 17:28:44.493,608,39
2015-11-19 17:28:45.483,452,36
2015-11-19 17:28:46.492,545,39
2015-11-19 17:28:47.497,495,38
2015-11-19 17:28:56.150,184,38
2015-11-19 17:28:57.150,650,37
2015-11-19 17:28:58.145,834,40
2015-11-19 17:28:59.153,208,38
2015-11-19 17:29:00.148,250,38
2015-11-19 17:29:01.143,141,37
2015-11-19 17:29:02.142,260,37
2015-11-19 17:29:03.147,631,42
2015-11-19 17:29:04.143,707,40
2015-11-19 17:29:05.149,373,40
2015-11-19 17:29:06.150,146,38
2015-11-19 17:29:07.158,101,38
2015-11-19 17:29:08.145,142,40
2015-11-19 17:29:09.159,1734,40
2015-11-19 17:29:10.151,1376,39
2015-11-19 17:29:11.136,540,39
2015-11-19 17:29:12.155,428,42
2015-11-19 17:29:13.147,1028,39
2015-11-19 17:29:14.152,1769,38
2015-11-19 17:29:15.143,1735,40
2015-11-19 17:29:48.579,1668,41
2015-11-19 17:29:49.571,1692,41
2015-11-19 17:29:50.565,2068,41
2015-11-19 17:29:51.579,1714,37
2015-11-19 17:29:52.580,1718,40
2015-11-19 17:29:53.581,2013,39
2015-11-19 17:29:54.569,2002,41
2015-11-19 17:29:55.580,2536,41
2015-11-19 17:29:56.573,2306,40
2015-11-19 17:29:57.566,2469,41
2015-11-19 17:29:58.573,1955,42
2015-11-19 17:29:59.577,1823,41
2015-11-19 17:30:00.575,2148,42
2015-11-19 17:30:01.580,1744,39
2015-11-19 17:30:02.572,2111,38
2015-11-19 17:30:03.578,2251,39
2015-11-19 17:30:04.567,1804,40
2015-11-19 17:30:05.581,1553,40
2015-11-19 17:30:06.578,2792,41
2015-11-19 17:30:07.571,1935,42
2015-11-19 17:31:18.975,517,41
2015-11-19 17:31:19.971,463,39
2015-11-19 17:31:20.970,499,42
2015-11-19 17:31:21.978,516,40
2015-11-19 17:31:22.965,515,39
2015-11-19 17:31:23.966,464,41
2015-11-19 17:31:24.968,495,41
2015-11-19 17:31:25.972,480,41
2015-11-19 17:31:26.975,429,40
2015-11-19 17:31:27.969,478,40
2015-11-19 17:31:28.969,716,39
2015-11-19 17:31:29.968,364,42
2015-11-19 17:31:30.960,485,38
2015-11-19 17:31:31.993,523,41
2015-11-19 17:31:32.973,588,38
2015-11-19 17:31:34.004,642,39
2015-11-19 17:31:34.958,651,38
2015-11-19 17:31:35.969,529,43
2015-11-19 17:31:36.964,444,40
2015-11-19 17:31:37.976,519,39
2015-11-19 17:32:05.817,224,40
2015-11-19 17:32:06.810,340,40
2015-11-19 17:32:07.826,404,41
2015-11-19 17:32:08.815,474,39
2015-11-19 17:32:09.810,347,40
2015-11-19 17:32:10.796,387,39
2015-11-19 17:32:11.811,368,39
2015-11-19 17:32:12.806,481,39
2015-11-19 17:32:13.810,388,41
2015-11-19 17:32:14.812,374,41
2015-11-19 17:32:15.808,357,40
2015-11-19 17:32:16.803,453,39
2015-11-19 17:32:17.801,431,39
2015-11-19 17:32:18.842,381,39
2015-11-19 17:32:19.806,433,39
2015-11-19 17:32:20.806,405,38
2015-11-19 17:32:21.802,405,39
2015-11-19 17:32:22.820,453,43
2015-11-19 17:32:23.808,423,42
2015-11-19 17:32:24.807,627,41
2015-11-19 17:32:48.484,500,41
2015-11-19 17:32:49.495,548,43
2015-11-19 17:32:50.484,433,37
2015-11-19 17:32:51.527,572,39
2015-11-19 17:32:52.506,486,41
2015-11-19 17:32:53.509,697,41
2015-11-19 17:32:54.492,567,39
2015-11-19 17:32:55.499,476,38
2015-11-19 17:32:56.496,379,40
2015-11-19 17:32:57.500,562,38
2015-11-19 17:32:58.492,827,40
2015-11-19 17:32:59.496,809,41
2015-11-19 17:33:00.493,511,38
2015-11-19 17:33:01.498,359,40
2015-11-19 17:33:02.518,479,38
2015-11-19 17:33:03.514,603,40
2015-11-19 17:33:04.490,822,37
2015-11-19 17:33:05.503,1031,39
2015-11-19 17:33:06.491,881,38
2015-11-19 17:33:07.504,1110,42
2015-11-19 17:34:00.229,1972,41
2015-11-19 17:34:01.224,2134,43
2015-11-19 17:34:02.212,1579,39
2015-11-19 17:34:03.219,1569,39
2015-11-19 17:34:04.217,2228,39
2015-11-19 17:34:05.212,1344,41
2015-11-19 17:34:06.227,893,42
2015-11-19 17:34:07.226,459,39
2015-11-19 17:34:08.227,779,40
2015-11-19 17:34:09.220,1475,41
2015-11-19 17:34:10.237,1058,43
